pbIndex,pb1,pb2,
010671,-0.39559558,-0.33733541,
010672,-0.33713618,-0.23807316,
010673,-0.28322181,-0.27098840,
010674,0.20105228,-0.32834780,
010675,-0.10104032,0.12244082,
010676,0.22555053,-0.06692379,
010677,0.16502926,-0.68010187,
010678,0.21075967,-0.31639358,
010679,0.25044259,-0.53289866,
010680,0.05909245,-0.72662967,
010681,0.27381074,-0.35860381,
010682,0.06083166,-0.56553304,
010683,0.67511135,-0.02897438,
010684,0.23170270,-0.19925661,
010685,0.93030798,-0.13150616,
010686,-0.44231799,-0.42442304,
010687,0.29413000,-0.13480996,
010688,0.17128074,-0.32881096,
010689,0.17255971,0.22645353,
010690,0.18183726,-0.19799897,
010691,0.11943737,-0.24471509,
010692,0.30241668,-0.44971642,
010693,0.39727694,0.03334720,
010694,0.58986950,-0.15782127,
010695,0.16882163,-0.56635433,
010696,-0.26603660,-0.74685466,
010697,-0.10342795,0.15874229,
010698,-0.08073117,0.19512291,
010699,0.12366192,-0.40477133,
010700,0.61323190,0.26641446,
010701,0.28541338,-0.38172367,
010702,0.79907620,0.03035986,
010703,0.54624999,-0.06158872,
010704,0.26524296,-0.18083704,
010705,0.16443117,0.45364773,
010706,-0.01463435,-0.01476372,
010707,-0.15120952,-0.38270223,
010708,-0.31915915,0.16811416,
010709,0.22347561,-0.77821046,
010710,0.19527173,-0.22860636,
010711,-0.02577766,-0.11897597,
010712,0.17798615,-0.12065738,
010713,0.17182446,0.08955967,
010714,0.46457818,0.04777965,
010715,0.24881396,-0.23504172,
010716,0.14273904,0.26392925,
010717,0.00959465,-0.06911108,
010718,-0.57971275,-1.18951178,
010719,0.04558232,-0.21163864,
010720,0.31998789,-0.35021931,
010721,-0.33245414,-0.64330453,
010722,-0.30927461,-0.84394306,
010723,0.83708537,0.17342283,
010724,0.19233033,-0.34885725,
010725,-0.31598914,-1.07665110,
010726,0.41704088,-0.00464958,
010727,0.08506120,-0.10830540,
010728,0.26179874,-0.26570052,
010729,0.13346508,-0.39068317,
010730,0.31642196,-0.03638047,
010731,-0.26174736,-0.55413640,
010732,-0.01253247,-0.00348560,
010733,0.60551131,0.17021015,
010734,0.50419831,-0.19322607,
010735,0.21151535,0.02456464,
010736,0.20579702,-0.47574762,
010737,-0.14652094,-0.59544885,
010738,0.06184563,-0.88207012,
010739,0.55464053,-0.08791396,
010740,0.39866635,-0.23610532,
010741,-0.01418223,-0.29747188,
010742,0.39049897,-0.02758150,
010743,0.12214059,-0.07111335,
010744,-0.54371065,-0.22479878,
010745,0.08608320,-0.40951848,
010746,-0.20723332,0.07807498,
010747,0.58919358,-0.13631094,
010748,0.27534589,-0.48765859,
010750,0.55196714,-0.04699078,
010751,0.39054352,0.00304788,
010752,-0.76835161,-0.34079790,
010753,-0.33435544,-0.14153270,
010754,0.21439771,0.21568546,
010755,-0.13096923,0.04397846,
010756,0.05169074,0.09849375,
010757,0.44267267,-1.15186322,
010758,0.39327213,-0.04855572,
010759,0.21176715,-0.29847807,
010760,0.49300230,0.05062269,
010761,0.44261470,0.33533844,
010762,0.11332286,-0.00285023,
010763,0.19610190,-0.21583465,
010764,0.25335792,-0.17688893,
010765,0.06606609,0.08356716,
010766,-0.06935595,-0.42016086,
010767,-0.21999604,-0.50834590,
010768,0.02508073,-0.11657649,
010769,0.97546810,0.01168199,
010770,-0.01055187,-1.09525108,
010771,0.51467359,0.14037369,
010772,0.31820074,0.05544157,
010773,0.02188268,0.14862072,
010774,-0.00938575,-0.16047944,
010776,0.35989138,-0.65083832,
010777,-0.07000603,-1.17505419,
010778,-0.38701785,-0.02999709,
010779,0.30527371,-0.40388408,
010780,0.13691905,-0.84962845,
010781,0.35771638,-0.04653495,
010782,-0.33607262,-0.32577729,
010783,0.11920939,-0.69676369,
010784,-0.05321136,-0.11582871,
010785,-0.01814513,-0.59133577,
010786,-0.27969810,-0.56531745,
010787,0.71682471,0.14878877,
010788,0.20040415,-0.04580377,
010789,0.21241885,-1.07460999,
010790,-0.19406801,-0.35274380,
010791,0.19088462,0.05795445,
010792,0.34436435,-0.14132498,
010793,0.52031964,0.04837297,
010794,-0.42218897,-0.20894101,
010795,0.26337585,-0.08731247,
010796,-0.00731695,-0.22099932,
010797,0.13102040,-0.03892964,
010798,0.06211204,0.05360195,
010799,0.03223186,-0.33563313,
010800,0.27341431,-0.16124772,
010801,-0.07848868,0.10394751,
010802,-0.00941287,-0.36495942,
010803,0.76364493,-0.17551360,
010804,0.15409023,-0.77067626,
010805,0.56385523,0.20838675,
010806,0.11657538,-0.15981396,
010807,0.43446055,-0.15656024,
010808,-0.25695640,0.01213466,
010810,0.57155710,-0.09806409,
010811,0.18171495,-0.27155098,
010812,-0.22020119,-0.14051951,
010813,-0.22934268,-0.03025246,
010814,-0.02626614,-0.51961750,
010815,0.58799291,0.05474257,
010816,0.87761730,0.02565994,
010817,0.11252785,-0.60039204,
010818,0.56014013,0.02570615,
010819,0.23288688,-0.17275642,
010820,-0.35688564,-0.35666203,
010821,0.34877023,-0.04559045,
010822,0.11509914,0.32547188,
010824,0.36198223,-0.11566086,
010825,0.62351632,-0.03175915,
010826,0.30353105,-0.18386489,
010827,0.20328669,0.03829174,
010828,-0.19114342,-0.78730470,
010829,0.17626394,-0.08603571,
010830,0.24675389,-0.19214323,
010831,-0.32158795,-0.08423014,
010832,0.22077252,0.32436582,
010833,0.53193420,-0.09998829,
